Title,Rating,Genres,Tags,Watchers,Popularity,Cast,Synopsis
18 Again,8.67,"Drama, Fantasy, Life, Romance","Becoming Young, Character Development, Divorce, Father-Daughter Relationship, Father-Son Relationship, First Love, Hardworking Female Lead, Hidden Identity, Life Lesson, Married Couple, Mother-Daughter Relationship, Personal Growth, Remake, Return To Past, Second Chance, Teenage Pregnancy",83582.0,-0.034,"Kim Ha Neul, Lee Do Hyun, Roh Jeong Eui, Ryeoun, Wi Ha Joon, Yoon Sang Hyun","After nearly twenty years of marriage, Jung Da Jung and Hong Dae Young seem to be well settled in their domestic lives. The proud parents of a pair of eighteen year old twins, the devoted couple have worked hard to build a happy home together. But what seems like an ideal life on the outside is really anything but. Fed up with Dae Young’s incessant nonsense, Da Jung is at her wits’ end. When Dae Young announces that he’s been fired, Da Jung gives up completely. Convinced life would be better without her husband in it, Da Jung wastes no time in filing for divorce.
Shaken by his wife’s decision to leave him and utterly disappointed in where life has taken him, Dae Young takes a hard look at his life. It doesn’t take him long to see all the places where things went wrong, and soon he finds himself regretting absolutely everything about his life. The moment the thoughts of regret enter his head, his body is instantly transformed into that of an eighteen year old, while his thirty-seven year old mind remains intact. Suddenly given the chance to re-do his entire life, Dae Young changes his name to Ko Woo Young and enrolls himself in his children's’ school. Seeing life from an entirely different perspective, Dae Young soon finds that despite keeping his middle-aged brain, he still has a lot to learn."
A Business Proposal ,8.7,"Comedy, Drama, Romance","Blind Date, Boss-Employee Relationship, Cheerful Female Lead, Company President (CEO) Male Lead, Contract Relationship, Double Identity, Fake Identity, Poor Woman, Rich Male Lead, Rich Man, Sismance",99264.0,0.018,"Ahn Hyo Seop, Kim Min Gue, Kim Se Jeong, Seol In Ah","Shin Ha Ri is a single woman and works for a company. She has a male friend, who she has had a crush on for a long time, but she learns he has a girlfriend. Shin Ha Ri feels sad and decides to meet her friend Jin Young Seo, who is a daughter of a chaebol family. Jin Young Seo then asks Shin Ha Ri to take her place in a blind date and even offers some money for her time. Shin Ha Ri accepts her friend's offer. She goes out on the blind date as Jin Young Seo, while having the intention to get rejected by her date. When she sees her blind date, Shin Ha Ri is dumbfounded. Her blind date is Kang Tae Mu. He is the CEO of the company where she works.
Kang Tae Mu is the CEO of a company that his grandfather founded. One day, his grandfather informed him of an upcoming blind date that he set up for him. Kang Tae Mu is a workaholic and he is annoyed that his grandfather sets up blind dates for him. He decides to marry the next woman whom he meets at a blind date, so he won't be disturbed from his work anymore. That woman is Shin Ha Ri, but pretending to be Jin Young Seo.
On the following day, Shin Ha Ri receives a phone call from Kang Tae Mu. He asks her to marry him."
A Korean Odyssey,8.27,"Comedy, Fantasy, Horror, Romance","Adapted From A Novel, Aggressive Male Lead, Bromance, Demon, Eccentric Male Lead, Ghost, Ghost-seeing Female Lead, Hate Relationship, Love, Mean Male Lead, Special Power, Steamy Kiss, Supernatural Power, Tough Male Lead",101149.0,0.105,"Cha Seung Won, Jang Gwang, Lee El, Lee Hong Ki, Lee Seung Gi, Oh Yeon Seo","In 2017, Son Oh Gong and Ma Wang are in conflict with each other as they look for a true light in a dark world where evil thrives. Having made a contract with Seon Mi 25 years ago, entitling her to seek help from Son Oh Gong whenever she calls him in exchange for letting him free, the two meet again in a fateful encounter. From there, Son Oh Gong is bound to his protective role towards Seon Mi, the little girl he had met years ago."
Abyss,7.8,"Comedy, Fantasy, Mystery, Romance","Age Gap [Real Life], Death, Hardworking Female Lead, Hidden Identity, Investigation, Murder, Nice Male Lead, Reincarnation, Smart Female Lead, Supernatural",100611.0,0.19,"Ahn Hyo Seop, Han So Hee, Kwon Soo Hyun, Lee Si Eon, Lee Sung Jae, Park Bo Young","“Abyss” is about a man and a woman who tragically die and are given another chance at life through soul-reviving marbles in a magical abyss.Go Se Yeon was a tough, accomplished, and unrivaled beautiful female prosecutor who worked in the Seoul District public Office but gets into a fatal accident and dies. However, due to the mysterious magical marble—Abyss—Go Se Yeon is revived, but now in a totally different appearance. Go Se Yeon now possesses a common appearance based on how “good” her spirit was in her previous life.Cha Min was the highly intelligent heir to Korea’s top cosmetics company but was also a smart, humble, and kind-hearted man. Although he has both the brains and an astounding amount of wealth, he considers himself unattractive and is insecure about his looks. Like Go Se Yeon, Cha Min gets into an accident and dies. Due to the mysterious magical marble—Abyss—he comes back to life with a different appearance as an exceedingly handsome man just as bright as the spirit he had in his previous life.Go Se Yeon and Cha Min begin to work as a lawyer and an administrator at a private law firm and decide to investigate the magical incident. Romance blooms in the office as the two intertwine together to accept their same fate.(Source: AsianWiki, Soompi)"
Alchemy of Souls,9.03,"Action, Fantasy, Historical, Romance","Apprentice, Body Swap, Comedy, Disciple Relationship, Elemental Power, Fake Identity, Flashback To Past, Hidden Identity, Kind Male Lead, Magical Power, Master, Master-Disciple Relationship, Master-Servant Relationship, Multiple Mains, Strong Female Lead, Supernatural, Transmigration",129020.0,0.067,"Hwang Hyun Min, Hwang Min Hyun, Jung So Min, Lee Jae Wook, Oh Na Ra, Shin Seung Ho, Yoo  Joon Sang, Yoo Joon Sang","Set in a fictional country called Daeho that does not exist in history or on maps, it is about the love and growth of young mages as they overcome their twisted fates due to a forbidden magic spell known as the ""alchemy of souls"", which allows souls to switch bodies. It follows the story of an elite assassin named Naksu, whose soul is accidentally trapped inside the weak body of Mu Deok—Jang Uk's servant from a powerful and noble mage family in the country. The young master of the Jang Family, Jang Uk, holds a dark secret about his scandalous birth. He wants the formidable assassin to help change his destiny."
Alchemy of Souls ,9.1,"Action, Fantasy, Historical, Romance","Body Swap, Elemental Power, Hidden Identity, Kind Male Lead, Magical Power, Master-Disciple Relationship, Multiple Mains, Strong Female Lead, Supernatural, Transmigration",58576.0,-0.206,"Hwang Min Hyun, Jung So Min, Lee Jae Wook, Oh Na Ra, Shin Seung Ho, Yoo Joon Sang","Set in a fictional country called Daeho that does not exist in history or on maps, it is about the love and growth of young mages as they overcome their twisted fates due to a forbidden magic spell known as the ""alchemy of souls"", which allows souls to switch bodies.
It follows the story of an elite assassin named Naksu, whose soul is accidentally trapped inside the weak body of Mu Deok—Jang Uk's servant from a powerful and noble mage family in the country. The young master of the Jang Family, Jang Uk, holds a dark secret about his scandalous birth. He wants the formidable assassin to help change his destiny."
Alchemy of Souls Season 2: Light and Shadow,9.0,"Action, Fantasy, Historical, Romance","Antihero Male Lead, Birth Secret, Fantasy World, Magical Power, Marriage Of Convenience, Nice Male Lead, Smart Male Lead, Strong Male Lead, Supernatural, Transmigration",33116.0,-0.281,"Go Youn Jung, Hwang Min Hyun, Lee Jae Wook, Oh Na Ra, Shin Seung Ho, Yoo  Joon Sang, Yoo Joon Sang","Jang Uk returns from death, and three years later, the story of the mages unfolds anew. Jang Uk becomes a hunter of the soul-shifters when a young woman, a prisoner in her own home, seeks his help to reclaim her freedom."
All of Us Are Dead,8.5,"Action, Horror, Sci-Fi, Thriller","Adapted From A Webtoon, Death, Friendship, Gore, High School, School, School Bullying, Slight Romance, Student, Survival, Virus, Zombie Apocalypse, Zombies",101710.0,0.064,"Cho Yi Hyun, Jo Yi Hyun, Kim Byung Chul, Lomon, Park Ji Hoo, Park Ji Hu, Yoo In Soo, Yoon Chan Young",A high school becomes ground zero for a zombie virus outbreak. Trapped students must fight their way out — or turn into one of the rabid infected.
Angel's Last Mission: Love,8.47,"Comedy, Drama, Fantasy, Romance","Ballet, Cohabitation, Cold Woman, Hidden Identity, Male Chases Female First, Nice Male Lead, Opposites Attract, Orphan Female Lead, Rich Female Lead, Strong Female Lead, Tearjerker, Warm Man",96957.0,0.052,"Gil Eun Hye, Kim  Bo Mi, Kim Bo Mi, Kim Myung Soo, L, Lee Dong Gun, Shin Hye Sun, Woo Hee Jin","Lee Yeon Seo, is a cynical and arrogant ballerina. She is the prima ballerina, but after an accident she has to give up her dream. After her parents' sudden death, she doesn’t trust anyone since there are a lot of people lurking around her and her inherited money.  Because of her distrust and arrogance, she is unable to love anyone. Kim Dan is an optimistic, carefree angel who is always getting into trouble. In order to return to heaven, he is tasked with a mission to find true love for the talented but emotionally distant ballerina."
"Arthdal Chronicles Part 2: The Sky Turning Inside Out, Rising Land",8.7,"Fantasy, Historical, Political, Romance","Character Development, Evil Twin, Father-Daughter Relationship, Good Twin, Political Intrigue, Power Struggle, Revenge, Slavery, Strong Female Lead, Strong Male Lead, War",21972.0,-0.267,"Jang Dong Gun, Kim Eui Sung, Kim Ji Won, Kim Ok Bin, Park Hae Joon, Song Joong Ki","Ta Gon has now become the most powerful man in Arthdal. He has an affectionate relationship only with Taealha, the daughter of the rival Hae Tribe, because of their shared ambitions.
Sa Ya has been kept confined in a tower because he is an Igutu, a hybrid between a Saram and Nweantal. Ta Gon chose to spare Sa Ya’s life as a baby in the wars that wiped out all the Nweantals and brought him back to Arthdal. His relationship with Sa Ya is complicated as Igutus are hated in Arthdal. Tae Al Ha has helped Ta Gon raise him.
Tan Ya, in an attempt to escape from the fortress of fire, where she and her tribe were held as hostages, goes into a room. This room looks exactly like what EunSeom had described in his dreams. There she sees a boy that looks just like Eun Seom.
What will happen after Sa Ya, who longs to escape his tower, and Tan Ya, who yearns for revenge against Arthdal, meet for the first time?"
Arthdal Chronicles Part 3: The Prelude to All Legends,8.7,"Fantasy, Historical, Political, Romance","Antihero Male Lead, Class Conflict, Curse, Power Struggle, Pre-produced, Revenge, Strong Female Lead, Superhuman Strength, Supernatural Power, War",19468.0,-0.276,"Jang Dong Gun, Kim Eui Sung, Kim Ji Won, Kim Ok Bin, Kim Sung Cheol, Song Joong Ki","Ta Gon gets what he wants as he sits atop his throne. However, now his life and throne are threatened when Eun Seom begins to gather power among the slaves and peasants of Arth as he starts to fight back against the elite. Although Ta Gon has so far kept his half-Neanthal heritage a secret from the world, his eyes shine purple, preparing to go all out in fighting Eun Seom.
Meanwhile, Taealha faces the threat of assassination from an unknown adversary, while Tanya struggles to adjust to her newfound power in Arthdal."
Because This Is My First Life,8.47,"Comedy, Drama, Life, Romance","Calm Male Lead, Cohabitation, Contract Relationship, Eccentric Male Lead, Healing, Housemates, Marriage Of Convenience, Multiple Couples, Multiple Mains, Nerdy Male Lead, Sismance, Writer",124319.0,0.153,"Esom, Jung So Min, Kim Ga Eun, Kim Min Seok, Lee Min Ki, Park Byung Eun",A house-poor man and homeless woman become housemates in a drama that examines the institution of marriage and the problems that young people face today.
Beyond Evil ,8.8,"Drama, Mystery, Psychological, Thriller","Corruption, Death, Determined Male Lead, Investigation, Mother-Son Relationship, Murder, Psychological Manipulation, Smart Male Lead, Suspense, Trauma",43814.0,-0.205,"Choi Dae Hoon, Choi Sung Eun, Kim Shin Rok, Shin Ha Kyun, Yeo Jin Goo","Meet the two fearless men willing to go to extreme lengths in their pursuit of a serial killer that has shaken up their quiet city: Lee Dong Sik, a once capable detective, is now demoted to perform menial tasks at the Manyang Police Substation. Just as he is beginning to settle into a peaceful life, his new superior, Detective Han Joo Won, is transferred in. Joo Won is an elite detective whose father is the star candidate for the National Police Agency’s next chief. Despite his admirable qualities and high social standing, Joo Won harbors a long-held secret.
When a string of gruesome killings occurs, a pattern takes shape that is oddly reminiscent of some cold serial-murder cases from 20 years prior. Dong Sik and Joo Won team up, vowing to stop this vicious culprit in his tracks. As their investigation proceeds, they are forced to look far deeper than what the evidence suggests, questioning the culpability of all those surrounding the case, including their own."
Big Mouth ,8.6,"Drama, Law, Mystery, Thriller","Brave Female Lead, Conspiracy, Death, Greed, Hardship, Investigation, Lawyer Male Lead, Murder, Suspense, Wrongfully Accused",43057.0,-0.171,"Im Yoon Ah, Kim Joo Heon, Lee Jong Suk","Park Chang Ho is known since his school days as ""Big Mouth"" because he talks big and promises big things but can not follow it up. He is also an infamous lawyer with a very low rate of success who was hired by a Mayor because of his incompetence. Unfortunately, he was framed as the notorious and mysterious swindler ""Big Mouse"" and sent to prison.
Go Mi Ho is Park Chang Ho's loving wife who works as a nurse. She has strong personality and will do anything to prove the innocence of her husband and help solve the case the Mayor has given to her husband.
Will Go Mi Ho be successful in proving her husband's innocence? Or, will her investigations lead to opening a can of worms?"
